,companyID,companyShortName,createTime,education,industryField,isSchoolJob,jobNature,salary,score,workYear
52,236071.0,奥动新能源,2018-03-16 14:58:13,本科,移动互联网,0.0,全职,15k-25k,0.0,5-10年
53,164989.0,哈罗单车,2018-03-16 12:25:32,本科,"移动互联网,硬件",0.0,全职,25k-35k,0.0,5-10年
54,83811.0,上海融腾集团,2018-03-16 10:55:29,本科,金融,0.0,全职,12k-24k,0.0,3-5年
55,13163.0,个推,2018-03-16 14:13:36,本科,移动互联网,0.0,全职,20k-25k,0.0,3-5年
56,144037.0,眸事网,2018-03-16 09:43:41,本科,"移动互联网,企业服务",0.0,全职,8k-12k,0.0,1-3年
57,92943.0,木七七,2018-03-13 16:01:32,本科,"移动互联网,游戏",0.0,全职,8k-10k,0.0,1-3年
58,47956.0,厚本金融,2018-03-16 10:09:10,硕士,金融,0.0,全职,15k-30k,0.0,3-5年
59,73604.0,萨摩耶金服,2018-03-15 16:00:34,本科,金融,0.0,全职,13k-25k,0.0,3-5年
60,164989.0,哈罗单车,2018-03-16 12:25:36,本科,"移动互联网,硬件",0.0,全职,15k-30k,0.0,3-5年
61,249959.0,壹现金,2018-03-01 11:54:01,本科,"金融,移动互联网",0.0,全职,6k-9k,0.0,1-3年
62,83811.0,上海融腾集团,2018-03-16 10:55:30,本科,金融,0.0,全职,15k-30k,0.0,3-5年
63,51235.0,麦图科技,2018-03-14 15:25:20,本科,数据服务,0.0,全职,10k-15k,0.0,不限
64,103163.0,高登世德金融科技,2018-03-14 11:55:26,本科,"金融,数据服务",0.0,全职,8k-15k,0.0,1-3年
65,30843.0,ezbuy,2018-03-16 10:47:08,大专,"电子商务,生活服务",0.0,全职,15k-25k,0.0,3-5年
66,6044.0,拍拍贷,2018-03-15 11:31:35,本科,金融,0.0,全职,15k-20k,0.0,1-3年
67,251737.0,享换机,2018-03-15 11:41:53,本科,"移动互联网,金融",0.0,全职,15k-30k,0.0,3-5年
68,30816.0,蜻蜓FM,2018-03-14 10:24:52,不限,移动互联网,0.0,全职,18k-30k,0.0,1-3年
69,23348.0,中通快递,2018-03-08 09:11:01,大专,电子商务,0.0,全职,15k-30k,0.0,5-10年
70,13163.0,个推,2018-03-16 14:13:34,本科,移动互联网,0.0,全职,15k-25k,0.0,1-3年
71,35713.0,链家上海研发中心,2018-03-15 20:42:00,本科,企业服务,0.0,全职,20k-30k,0.0,5-10年
72,34683.0,买单侠,2018-03-16 14:48:05,本科,移动互联网、金融,0.0,全职,10k-18k,0.0,3-5年
73,29211.0,圆通,2018-03-16 09:08:21,本科,"企业服务,数据服务",0.0,全职,8k-15k,0.0,1-3年
74,41258.0,国泰君安证券股份有限公司,2018-03-12 16:48:33,硕士,金融,0.0,全职,20k-40k,0.0,3-5年
